,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter
26,Eric Maxim Choupo-Moting,Eric Maxim Choupo-Moting,34,1.91,Cameroon,Hamburg,6,10,Attack - Centre-Forward,13,right,Bayern Munich,30/06/2024,05/10/2020,ROGON,Puma
27,Gregor Kobel,,25,1.94,Switzerland,Zürich,35,35,Goalkeeper,1,right,Bor. Dortmund,30/06/2026,01/07/2021,SBE Management AG,
28,Marcel Lotka,Marcel Laurenz Lotka,21,1.9,Germany,Duisburg,1.3,1.3,Goalkeeper,35,right,Bor. Dortmund,30/06/2025,01/07/2022,SEG,
29,Alexander Meyer,Alexander Niklas Meyer-Schade,32,1.95,Germany,Bad Oldesloe,1,1,Goalkeeper,33,right,Bor. Dortmund,30/06/2024,01/07/2022,AKA Global GmbH,
30,Luca Unbehaun,,22,1.85,Germany,Bochum,1,1.5,Goalkeeper,38,right,Bor. Dortmund,30/06/2023,01/07/2019,SWSports,
31,Nico Schlotterbeck,Nico Cedric Schlotterbeck,23,1.91,Germany,Waiblingen,40,40,Defender - Centre-Back,4,left,Bor. Dortmund,30/06/2027,01/07/2022,Robert Schneider,
32,Niklas Süle,,27,1.95,Germany,Frankfurt am Main,35,60,Defender - Centre-Back,25,right,Bor. Dortmund,30/06/2026,01/07/2022,Sports360 GmbH,Nike
33,Mats Hummels,Mats Julian Hummels,34,1.91,Germany,Bergisch Gladbach,6.5,60,Defender - Centre-Back,15,right,Bor. Dortmund,30/06/2023,01/07/2019,HMH Sportmanagement,adidas
34,Soumaïla Coulibaly,,19,1.9,France,Montfermeil,1,1,Defender - Centre-Back,44,left,Bor. Dortmund,30/06/2026,01/07/2021,Epic Sports,Puma
35,Antonios Papadopoulos,Αντώνης Παπαδόπουλος,23,1.86,Germany,Stuttgart,0.6,0.6,Defender - Centre-Back,18,right,B. Dortmund II,30/06/2024,01/07/2021,CAA Stellar,
36,Raphaël Guerreiro,Raphaël Adelino José Guerreiro,29,1.7,Portugal,Le Blanc-Mesnil,20,40,Defender - Left-Back,13,left,Bor. Dortmund,30/06/2023,01/07/2016,Wasserman,adidas
37,Tom Rothe,Tom Alexander Rothe,18,1.93,Germany,Rendsburg,3.5,3.5,Defender - Left-Back,36,left,Bor. Dortmund,30/06/2024,01/07/2022,Wasserman,
38,Nico Schulz,,30,1.8,Germany,Berlin,2,25,Defender - Left-Back,14,left,Bor. Dortmund,30/06/2024,01/07/2019,ROGON,
39,Julian Ryerson,,25,1.83,Norway,Lyngdal,10,10,Defender - Right-Back,26,right,Bor. Dortmund,30/06/2026,17/01/2023,CAA Base Ltd,
40,Marius Wolf,,27,1.87,Germany,Coburg,9,10,Defender - Right-Back,17,right,Bor. Dortmund,30/06/2024,02/07/2018,ROGON,
41,Thomas Meunier,,31,1.91,Belgium,Sainte-Ode,6.5,35,Defender - Right-Back,24,right,Bor. Dortmund,30/06/2024,01/07/2020,Thomas Meunier,adidas
42,Mateu Morey Bauzà,Mateu Jaume Morey Bauzà,23,1.73,Spain,Palma de Mallorca,1.5,7,Defender - Right-Back,2,right,Bor. Dortmund,30/06/2024,01/07/2019,,
43,Felix Passlack,,24,1.7,Germany,Bottrop,1.5,3,Defender - Right-Back,30,right,Bor. Dortmund,30/06/2023,04/01/2016,Teamgeist ...,Nike
44,Salih Özcan,,25,1.83,Turkey,Köln,17,17,midfield - Defensive Midfield,6,right,Bor. Dortmund,30/06/2026,01/07/2022,Dirk Hebel,
45,Emre Can,,29,1.86,Germany,Frankfurt am Main,14,40,midfield - Defensive Midfield,23,right,Bor. Dortmund,30/06/2024,01/07/2020,ISM Int. Soccer ...,
46,Abdoulaye Kamara,,18,1.83,France,Conakry,1,1,midfield - Defensive Midfield,32,right,B. Dortmund II,30/06/2024,20/07/2021,,
47,Jude Bellingham,Jude Victor William Bellingham,19,1.86,England,Stourbridge,120,120,midfield - Central Midfield,22,right,Bor. Dortmund,30/06/2025,23/07/2020,,adidas
48,Mahmoud Dahoud,,27,1.78,Germany,Amûdê‎,12,18,midfield - Central Midfield,8,right,Bor. Dortmund,30/06/2023,01/07/2017,Lorimanagement,Puma
49,Julian Brandt,,27,1.85,Germany,Bremen,40,50,midfield - Attacking Midfield,19,right,Bor. Dortmund,30/06/2026,01/07/2019,Relatives,Nike
50,Giovanni Reyna,Giovanni Alejandro Reyna,20,1.85,United States,Durham,28,42,midfield - Attacking Midfield,7,right,Bor. Dortmund,30/06/2025,12/01/2020,Wasserman,adidas
51,Marco Reus,,33,1.8,Germany,Dortmund,9,50,midfield - Attacking Midfield,11,right,Bor. Dortmund,30/06/2024,01/07/2012,Dirk Hebel,Puma
52,Göktan Gürpüz,,20,1.76,Turkey,Duisburg,0.3,0.3,midfield - Attacking Midfield,42,right,B. Dortmund II,30/06/2025,01/07/2022,SBE Management AG,
53,Karim Adeyemi,Karim-David Adeyemi,21,1.8,Germany,München,35,35,Attack - Left Winger,27,left,Bor. Dortmund,30/06/2027,01/07/2022,Kick&Run,Nike
54,Jamie Bynoe-Gittens,Jamie Jermaine Bynoe-Gittens,18,1.77,England,London,14,14,Attack - Left Winger,43,right,Bor. Dortmund,30/06/2025,01/07/2022,Elite Project Group ...,
55,Donyell Malen,,24,1.78,Netherlands,Wieringen,16,30,Attack - Right Winger,21,right,Bor. Dortmund,30/06/2026,27/07/2021,Rafaela Pimenta,Nike
56,Julien Duranville,,17,1.7,Belgium,Uccle,5,5,Attack - Right Winger,16,right,Bor. Dortmund,,27/01/2023,Agent is known - Player under 18,
57,Sébastien Haller,Sébastien Romain Teddy Haller,28,1.91,Cote d'Ivoire,Ris-Orangis,30,45,Attack - Centre-Forward,9,right,Bor. Dortmund,30/06/2026,06/07/2022,management 360,Puma
58,Youssoufa Moukoko,,18,1.79,Germany,Yaoundé,30,30,Attack - Centre-Forward,18,left,Bor. Dortmund,30/06/2026,29/07/2020,Wasserman,Nike
59,Anthony Modeste,Anthony Mbu Agogo Modeste,35,1.88,France,Cannes,1,20,Attack - Centre-Forward,20,right,Bor. Dortmund,30/06/2023,08/08/2022,Wasserman,
60,Péter Gulácsi,,33,1.9,Hungary,Budapest,6,13,Goalkeeper,1,right,RB Leipzig,30/06/2025,01/07/2015,HCM Sports ...,
61,Janis Blaswich,Janis Jonathan Blaswich,32,1.93,Germany,Willich,2,2,Goalkeeper,21,right,RB Leipzig,30/06/2025,01/07/2022,PRO Profil GmbH,adidas
62,Örjan Nyland,Ørjan Håskjold Nyland,32,1.92,Norway,Volda,0.6,3,Goalkeeper,13,right,RB Leipzig,30/06/2023,09/10/2022,Solbakken / Player ...,
63,Jonas Nickisch,,18,1.9,Germany,Dresden,0.2,0.2,Goalkeeper,1,both,RB Leipzig U19,30/06/2023,01/07/2021,neblung ...,
64,Timo Schlieck,,17,1.95,Germany,Oelde,0.2,0.2,Goalkeeper,1,right,RB Leipzig U17,30/06/2025,01/07/2021,,
65,Oskar Preil,,19,1.87,Germany,,,,Goalkeeper,29,right,RB Leipzig,30/06/2023,01/07/2022,SOCCERNATION GROUP,
66,Josko Gvardiol,Joško Gvardiol,21,1.85,Croatia,Zagreb,75,75,Defender - Centre-Back,32,left,RB Leipzig,30/06/2027,01/07/2021,Marjan Sisic,
67,Mohamed Simakan,,23,1.87,France,Marseille,28,28,Defender - Centre-Back,2,right,RB Leipzig,30/06/2027,01/07/2021,BS Group - BS Law,Puma
68,Abdou Diallo,Abdou-Lakhad Diallo,27,1.87,Senegal,Tours,15,35,Defender - Centre-Back,37,left,RB Leipzig,30/06/2023,01/09/2022,Classico,Puma
69,Willi Orbán,Vilmos Tamás Orbán,30,1.86,Hungary,Kaiserslautern,10,20,Defender - Centre-Back,4,right,RB Leipzig,30/06/2025,01/07/2015,ROGON,Nike
70,David Raum,,25,1.8,Germany,Nürnberg,20,26,Defender - Left-Back,22,left,RB Leipzig,30/06/2027,31/07/2022,ROOF,
71,Marcel Halstenberg,,31,1.88,Germany,Laatzen,4,22,Defender - Left-Back,23,left,RB Leipzig,30/06/2024,31/08/2015,TrueSports GmbH,
72,Sanoussy Ba,,19,1.84,Germany,Hof,0.5,0.5,Defender - Left-Back,25,both,RB Leipzig,30/06/2025,01/07/2022,Sports360 GmbH,
73,Benjamin Henrichs,,26,1.85,Germany,Bocholt,15,20,Defender - Right-Back,39,right,RB Leipzig,30/06/2025,01/07/2021,CN Sports,
74,Lukas Klostermann,Lukas Manuel Klostermann,26,1.89,Germany,Gevelsberg,12,38,Defender - Right-Back,16,right,RB Leipzig,30/06/2024,22/08/2014,EMG Mundial,
75,Konrad Laimer,,25,1.8,Austria,Salzburg,28,30,midfield - Central Midfield,27,right,RB Leipzig,30/06/2023,01/07/2017,ROOF,
76,Xaver Schlager,,25,1.74,Austria,Linz,22,27,midfield - Central Midfield,24,left,RB Leipzig,30/06/2026,01/07/2022,ROOF,Puma
77,Amadou Haidara,,25,1.75,Mali,Bamako,17,24,midfield - Central Midfield,8,right,RB Leipzig,30/06/2025,01/01/2019,ROOF,
78,Kevin Kampl,,32,1.78,Slovenia,Solingen,5,22,midfield - Central Midfield,44,right,RB Leipzig,30/06/2024,31/08/2017,MR Sport Management ...,adidas
79,Dani Olmo,Daniel Olmo Carvajal,25,1.79,Spain,Terrassa,40,50,midfield - Attacking Midfield,7,right,RB Leipzig,30/06/2024,25/01/2020,Niagara Sports ...,
80,Dominik Szoboszlai,,22,1.87,Hungary,Székesfehérvár,40,40,midfield - Attacking Midfield,17,right,RB Leipzig,30/06/2026,01/01/2021,EM Sports Consulting,
81,Emil Forsberg,Emil Peter Forsberg,31,1.77,Sweden,Sundsvall,9,28,midfield - Attacking Midfield,10,right,RB Leipzig,30/06/2025,07/01/2015,HCM Sports ...,
82,Caden Clark,Caden Christopher Clark,19,1.8,United States,"Medina, Minnesota",2.8,3.5,midfield - Attacking Midfield,28,right,RB Leipzig,30/06/2025,01/07/2021,YMU Group,
83,Christopher Nkunku,Christopher Alan Nkunku,25,1.78,France,Lagny-sur-Marne,80,80,Attack - Second Striker,18,right,RB Leipzig,30/06/2026,18/07/2019,Gol International,adidas
84,Timo Werner,,27,1.8,Germany,Stuttgart,25,80,Attack - Centre-Forward,11,right,RB Leipzig,30/06/2026,09/08/2022,Sports360 GmbH,adidas
85,André Silva,André Miguel Valente Silva,27,1.85,Portugal,Baguim do Monte,20,45,Attack - Centre-Forward,19,right,RB Leipzig,30/06/2026,02/07/2021,Gestifute,Nike
86,Yussuf Poulsen,Yussuf Yurary Poulsen,28,1.92,Denmark,Kopenhagen,10,35,Attack - Centre-Forward,9,right,RB Leipzig,30/06/2024,04/07/2013,PEP Consulting,
87,Lukas Hradecky,Lukáš Hrádecký,33,1.92,Finland,Bratislava,2.5,12,Goalkeeper,1,right,B. Leverkusen,30/06/2026,01/07/2018,,Uhlsport
88,Patrick Pentz,,26,1.82,Austria,Salzburg,1.5,2.5,Goalkeeper,28,left,B. Leverkusen,30/06/2025,27/01/2023,World in Motion,Uhlsport
89,Andrey Lunev,Лунёв Андрей Евгеньевич,31,1.9,Russia,Moskau,1.5,10.5,Goalkeeper,40,right,B. Leverkusen,30/06/2023,10/07/2021,,Nike
90,Niklas Lomb,,29,1.86,Germany,Köln,0.25,0.4,Goalkeeper,36,right,B. Leverkusen,30/06/2024,01/07/2012,Dirk Hebel,
91,Edmond Tapsoba,Edmond Fayçal Tapsoba,24,1.94,Burkina Faso,Ouagadougou,30,40,Defender - Centre-Back,12,right,B. Leverkusen,30/06/2026,31/01/2020,D20 Sports,
92,Piero Hincapié,Piero Martín Hincapié Reyna,21,1.83,Ecuador,Esmeraldas,25,25,Defender - Centre-Back,3,left,B. Leverkusen,30/06/2027,16/08/2021,Fútbol División,adidas
93,Jonathan Tah,Jonathan Glao Tah,27,1.95,Germany,Hamburg,20,40,Defender - Centre-Back,4,right,B. Leverkusen,30/06/2025,16/07/2015,Gol International,adidas
94,Odilon Kossounou,Odilon Kossounou Kouakou,22,1.91,Cote d'Ivoire,Abidjan,20,23,Defender - Centre-Back,6,right,B. Leverkusen,30/06/2026,22/07/2021,Global Soccer ...,
95,Mitchel Bakker,,22,1.85,Netherlands,Purmerend,9,14,Defender - Left-Back,5,left,B. Leverkusen,30/06/2025,12/07/2021,Team Raiola,
96,Daley Sinkgraven,,27,1.79,Netherlands,Assen,3,9,Defender - Left-Back,22,left,B. Leverkusen,30/06/2023,01/07/2019,V4S,Nike
97,Jeremie Frimpong,Jeremie Agyekum Frimpong,22,1.71,Netherlands,Amsterdam,35,35,Defender - Right-Back,30,right,B. Leverkusen,30/06/2025,27/01/2021,Prolific Sports ...,Puma
98,Timothy Fosu-Mensah,Timothy Evans Fosu-Mensah,25,1.85,Netherlands,Amsterdam,3,7,Defender - Right-Back,24,right,B. Leverkusen,30/06/2024,13/01/2021,CAA Base Ltd,
99,Robert Andrich,,28,1.87,Germany,Potsdam,11,13,midfield - Defensive Midfield,8,right,B. Leverkusen,30/06/2026,16/08/2021,teamplayer ...,
100,Noah Mbamba,Noah Mbamba-Muanda,18,1.87,Belgium,Elsene,3,5,midfield - Defensive Midfield,18,right,B. Leverkusen,30/06/2028,14/01/2023,,
101,Ayman Azhil,,22,1.75,Morocco,Düsseldorf,0.4,0.4,midfield - Defensive Midfield,32,right,B. Leverkusen,30/06/2023,01/07/2020,KL Sportsbase,
102,Joshua Eze,Joshua Chima Eze,20,1.83,Germany,Leverkusen,0.2,0.2,midfield - Defensive Midfield,35,right,B. Leverkusen,30/06/2024,01/07/2022,Kick&Run,
103,Exequiel Palacios,Exequiel Alejandro Palacios,24,1.77,Argentina,Famaillá,15,25,midfield - Central Midfield,25,right,B. Leverkusen,30/06/2025,01/01/2020,Eleven Talent Group,
104,Kerem Demirbay,,29,1.83,Germany,Herten,9,32,midfield - Central Midfield,10,left,B. Leverkusen,30/06/2024,01/07/2019,EMG Mundial,adidas
105,Nadiem Amiri,,26,1.8,Germany,Ludwigshafen am Rhein,6,22,midfield - Central Midfield,11,right,B. Leverkusen,30/06/2024,30/07/2019,,
106,Florian Wirtz,Florian Richard Wirtz,20,1.76,Germany,Pulheim,85,85,midfield - Attacking Midfield,27,right,B. Leverkusen,30/06/2027,01/07/2020,Relatives,adidas
107,Callum Hudson-Odoi,Callum James Hudson-Odoi,22,1.77,England,London,17,35,Attack - Left Winger,17,right,B. Leverkusen,30/06/2023,30/08/2022,Relatives,adidas
108,Amine Adli,,23,1.74,France,Béziers,15,15,Attack - Left Winger,21,left,B. Leverkusen,30/06/2026,26/08/2021,Concept Sport Agency,adidas
109,Moussa Diaby,,23,1.7,France,Paris,50,60,Attack - Right Winger,19,left,B. Leverkusen,30/06/2025,01/07/2019,AIS SPORT SERVICE,
110,Karim Bellarabi,كريم بلعربي,33,1.84,Germany,Berlin,2.5,22,Attack - Right Winger,38,right,B. Leverkusen,30/06/2023,01/07/2011,KL Sportsbase,
111,Patrik Schick,,27,1.91,Czech Republic,Praha,30,50,Attack - Centre-Forward,14,left,B. Leverkusen,30/06/2027,08/09/2020,Int. Sport ...,
112,Adam Hlozek,Adam Hložek,20,1.88,Czech Republic,Ivančice,15,20,Attack - Centre-Forward,23,right,B. Leverkusen,30/06/2027,01/07/2022,Int. Sport ...,Nike
113,Sardar Azmoun,سردار آزمون,28,1.86,Iran,"Gonbad-e Kavus, Golestan",12,25,Attack - Centre-Forward,9,both,B. Leverkusen,30/06/2027,30/01/2022,Epic Sports,Nike
114,Kevin Trapp,Kevin Christian Trapp,32,1.89,Germany,Merzig,8.5,12,Goalkeeper,1,right,E. Frankfurt,30/06/2026,07/08/2019,Sports360 GmbH,adidas
115,Diant Ramaj,,21,1.89,Germany,Stuttgart,0.75,0.75,Goalkeeper,40,both,E. Frankfurt,30/06/2027,01/07/2021,BMS Sportconsulting ...,
116,Jens Grahl,,34,1.92,Germany,Stuttgart,0.2,0.75,Goalkeeper,31,right,E. Frankfurt,30/06/2026,19/07/2021,PESM,
117,Simon Simoni,,18,1.94,Albania,Lezhë,0.2,0.25,Goalkeeper,41,right,E. Frankfurt,30/06/2027,01/01/2023,Creatio Management,
118,Evan Ndicka,Obite Evan Ndicka,23,1.92,France,Paris,32,32,Defender - Centre-Back,2,left,E. Frankfurt,30/06/2023,05/07/2018,AMS CONSULTING,
119,Tuta,,23,1.85,Brazil,São Paulo,15,15,Defender - Centre-Back,35,right,E. Frankfurt,30/06/2026,31/01/2019,Wolfs,
120,Hrvoje Smolcic,Hrvoje Smolčić,22,1.85,Croatia,Gospić,5,5,Defender - Centre-Back,5,left,E. Frankfurt,30/06/2027,01/07/2022,Niagara Sports ...,
121,Almamy Touré,,27,1.83,Mali,Bamako,2.5,8,Defender - Centre-Back,18,right,E. Frankfurt,30/06/2023,31/01/2019,,
122,Makoto Hasebe,長谷部 誠,39,1.8,Japan,"Fujieda, Shizuoka",0.8,5,Defender - Centre-Back,20,right,E. Frankfurt,30/06/2024,01/07/2014,PRO Profil GmbH,Puma
123,Philipp Max,,29,1.77,Germany,Viersen,6,20,Defender - Left-Back,32,left,E. Frankfurt,30/06/2023,31/01/2023,Sports360 GmbH,Nike
124,Christopher Lenz,,28,1.8,Germany,Berlin,5,5,Defender - Left-Back,25,left,E. Frankfurt,30/06/2024,01/07/2021,ROOF,
125,Jan Schröder,Jan Alex Wilson Schröder,20,1.82,Germany,Herrenberg,0.2,0.2,Defender - Left-Back,49,left,E. Frankfurt,30/06/2023,20/08/2021,,
126,Aurélio Buta,Aurélio Gabriel Ulineia Buta,26,1.72,Portugal,,6,6,Defender - Right-Back,24,right,E. Frankfurt,30/06/2026,01/07/2022,Proeleven S.A.,
127,Timothy Chandler,,33,1.86,United States,Frankfurt am Main,1.2,5,Defender - Right-Back,22,right,E. Frankfurt,30/06/2025,01/07/2014,Sports eXcellence ...,adidas
128,Kristijan Jakic,Kristijan Jakić,25,1.81,Croatia,Split,9,9,midfield - Defensive Midfield,6,right,E. Frankfurt,30/06/2026,01/07/2022,Niagara Sports ...,
129,Djibril Sow,Mohameth Djibril Ibrahima Sow,26,1.84,Switzerland,Zürich,22,22,midfield - Central Midfield,8,right,E. Frankfurt,30/06/2024,01/07/2019,Signature - ISCM AG,
130,Sebastian Rode,,32,1.79,Germany,Seeheim-Jugenheim,2.5,10,midfield - Central Midfield,17,right,E. Frankfurt,30/06/2024,27/07/2019,PRO Profil GmbH,Nike
131,Marcel Wenig,,19,1.88,Germany,Nürnberg,0.8,0.8,midfield - Central Midfield,28,right,E. Frankfurt,30/06/2025,01/07/2022,Skylar,adidas
132,Mehdi Loune,,18,1.72,Germany,Hanau,0.3,0.3,midfield - Central Midfield,45,right,E. Frankfurt,30/06/2025,01/07/2022,Selected ...,Puma
133,Junior Dina Ebimbe,Éric Junior Dina Ebimbe,22,1.84,France,Stains,7.5,7.5,midfield - Right Midfield,26,right,E. Frankfurt,30/06/2023,21/08/2022,Relatives,
134,Daichi Kamada,鎌田 大地,26,1.84,Japan,"Iyo, Ehime",30,30,midfield - Attacking Midfield,15,right,E. Frankfurt,30/06/2023,01/07/2017,Roberto Tukada,Nike
135,Jesper Lindström,Jesper Grænge Lindstrøm,23,1.82,Denmark,Taastrup,28,28,midfield - Attacking Midfield,29,right,E. Frankfurt,30/06/2026,11/07/2021,NSG ApS,adidas
136,Mario Götze,,30,1.76,Germany,Memmingen,13,55,midfield - Attacking Midfield,27,right,E. Frankfurt,30/06/2025,01/07/2022,Sports360 GmbH,Nike
137,Paxten Aaronson,Paxten Reid Aaronson,19,1.75,United States,"Medford, New Jersey",4.5,4.5,midfield - Attacking Midfield,30,right,E. Frankfurt,30/06/2027,01/01/2023,Wasserman,
138,Faride Alidou,,21,1.86,Germany,Hamburg,2.5,2.5,Attack - Left Winger,11,right,E. Frankfurt,30/06/2026,01/07/2022,FTC,
139,Ansgar Knauff,,21,1.8,Germany,Göttingen,10,10,Attack - Right Winger,36,right,E. Frankfurt,30/06/2023,20/01/2022,H.S.P. ...,Under Armour
140,Randal Kolo Muani,,24,1.87,France,Bondy,65,65,Attack - Centre-Forward,9,right,E. Frankfurt,30/06/2027,01/07/2022,Relatives,adidas
141,Rafael Borré,Rafael Santos Borré Maury,27,1.74,Colombia,Barranquilla,12,20,Attack - Centre-Forward,19,right,E. Frankfurt,30/06/2025,05/07/2021,Wasserman,
142,Lucas Alario,Lucas Nicolás Alario,30,1.85,Argentina,"Tostado, Santa Fe",4,20,Attack - Centre-Forward,21,right,E. Frankfurt,30/06/2025,01/07/2022,Pedro Aldave Ortuzar,adidas
143,Nacho Ferri,Ignacio Ferri Julià,18,1.92,Spain,Montaverner,,,Attack - Centre-Forward,48,right,E. Frankfurt,30/06/2025,05/10/2022,INVSPORT (Sergio ...,
144,Jonas Omlin,,29,1.9,Switzerland,Sarnen,7,8,Goalkeeper,1,right,Bor. M'gladbach,30/06/2027,19/01/2023,Signature - ISCM AG,Puma
145,Jan Olschowsky,Jan Jakob Olschowsky,21,1.84,Germany,Neuss,0.5,0.5,Goalkeeper,41,right,Bor. M'gladbach,30/06/2027,13/07/2020,B360 Sports,Puma
146,Tobias Sippel,,35,1.83,Germany,Bad Dürkheim,0.4,3,Goalkeeper,21,right,Bor. M'gladbach,30/06/2024,01/07/2015,Dr. Michael Becker,
147,Nico Elvedi,,26,1.89,Switzerland,Zürich,20,35,Defender - Centre-Back,30,right,Bor. M'gladbach,30/06/2024,01/07/2015,IFM,Nike
148,Ko Itakura,板倉 滉,26,1.88,Japan,"Yokohama, Kanagawa",12,12,Defender - Centre-Back,3,right,Bor. M'gladbach,30/06/2026,02/07/2022,CAA Base Ltd,Nike
149,Marvin Friedrich,,27,1.93,Germany,Kassel,5,10,Defender - Centre-Back,5,right,Bor. M'gladbach,30/06/2026,11/01/2022,ROOF,adidas
150,Tony Jantschke,,33,1.77,Germany,Hoyerswerda,0.8,9,Defender - Centre-Back,24,right,Bor. M'gladbach,30/06/2024,01/07/2009,Fröhlich ...,
151,Mamadou Doucouré,,24,1.83,France,Dakar,0.1,0.5,Defender - Centre-Back,4,left,Bor. M'gladbach,30/06/2024,01/07/2016,Sport Avenir ...,
152,Ramy Bensebaini,رامي بن سبعيني,28,1.87,Algeria,Constantine,20,22,Defender - Left-Back,25,left,Bor. M'gladbach,30/06/2023,14/08/2019,HCM Sports ...,
153,Luca Netz,,19,1.84,Germany,Berlin,6.5,6.5,Defender - Left-Back,20,left,Bor. M'gladbach,30/06/2026,06/08/2021,11WINS,
154,Joe Scally,Joseph Michael Scally,20,1.84,United States,"Lake Grove, New York",12,12,Defender - Right-Back,29,right,Bor. M'gladbach,30/06/2027,01/01/2021,Wasserman,Nike
155,Stefan Lainer,,30,1.75,Austria,Salzburg,3.5,18,Defender - Right-Back,18,right,Bor. M'gladbach,30/06/2024,01/07/2019,ROOF,
156,Simon Walde,,18,1.85,Germany,Düsseldorf,,,Defender - Right-Back,45,right,Bor. M'gladbach,30/06/2026,04/01/2023,Wasserman,adidas
157,Julian Weigl,,27,1.86,Germany,Bad Aibling,15,30,midfield - Defensive Midfield,8,right,Bor. M'gladbach,30/06/2023,01/09/2022,Sports360 GmbH,Puma
